BHN,BJ,KT,KPT,ST,PK,SK
Bungkil_inti_sawit,1.31,0.54,0.73,34.59,12.86,14.39
Bungkil_inti_sawit,1.12,0.28,0.49,46.15,25.80,11.24
Bungkil_inti_sawit,1.16,0.33,0.52,42.41,19.00,18.97
Bungkil_inti_sawit,1.24,0.43,0.66,36.27,17.98,23.93
Bungkil_kelapa,1.28,0.51,0.68,35.47,14.05,9.63
Bungkil_kelapa,1.07,0.27,0.46,48.18,19.20,13.54
Bungkil_kelapa,1.14,0.31,0.50,43.27,20.64,18.75
Bungkil_kelapa,1.23,0.40,0.62,36.55,17.68,27.53
Pollard,1.29,0.32,0.43,42.32,22.32,9.78
Pollard,1.28,0.35,0.52,44.35,18.06,7.93
Pollard,1.12,0.34,0.49,41.81,20.68,9.22
Pollard,1.42,0.39,0.54,46.98,22.66,6.48
Dedak_padi,1.29,0.35,0.51,40.53,13.01,32.57
Dedak_padi,1.50,0.39,0.53,46.01,13.58,23.23
Dedak_padi,1.25,0.28,0.48,39.80,8.26,36.44
Dedak_padi,1.36,0.36,0.50,41.36,8.79,36.30
Jagung,1.34,0.72,0.74,26.11,9.52,4.69
Onggok:Indigofera,0.96,0.26,0.33,33.52,9.43,9.90
Onggok:Singkong,0.90,0.24,0.32,32.78,8.91,11.30
Onggok:Indigofera:Singkong,0.92,0.25,0.32,33.36,9.16,10.59
Dedak_padi,1.39,0.34,0.52,35.58,10.97,29.42
Dedak_padi,1.27,0.32,0.49,34.30,12.27,29.62
Dedak_padi,1.37,0.34,0.52,35.43,9.05,37.80
Dedak_padi,1.33,0.34,0.51,35.04,9.23,34.19
Dedak_padi,1.26,0.32,0.49,34.29,10.22,23.92
Dedak_padi,1.30,0.33,0.50,34.37,10.79,29.99
Dedak_padi,1.28,0.33,0.50,34.36,11.51,27.21
Dedak_padi,1.31,0.33,0.50,34.89,11.73,29.13
Dedak_padi,1.35,0.30,0.46,36.96,13.37,19.80
Dedak_padi,1.35,0.32,0.47,37.73,11.85,19.58
Dedak_padi,1.36,0.32,0.47,38.12,12.94,22.64
Dedak_padi,1.35,0.31,0.47,37.01,11.90,20.88
Dedak_padi,1.28,0.28,0.41,36.34,12.08,12.70
Dedak_padi,1.36,0.33,0.48,38.49,13.49,16.79
Dedak_padi,1.28,0.30,0.43,36.40,12.93,25.08
Dedak_padi,1.29,0.29,0.42,36.83,13.08,18.60
Dedak_padi,1.36,0.35,0.52,40.63,12.78,20.59
Dedak_padi,1.41,0.36,0.54,41.52,13.04,20.71
Dedak_padi,1.36,0.35,0.52,41.90,13.03,10.09
Dedak_padi,1.45,0.36,0.54,42.86,13.32,12.30
Dedak_padi,1.21,0.28,0.44,44.84,14.72,13.30
Dedak_padi,1.23,0.31,0.45,42.18,14.11,10.24
Dedak_padi,1.20,0.26,0.44,44.38,13.98,9.51
Dedak_padi,1.35,0.35,0.52,40.90,14.14,21.26
Dedak_padi,1.35,0.33,0.50,43.09,13.24,13.85
Dedak_padi,1.25,0.28,0.43,44.51,10.17,13.80
Dedak_padi,1.23,0.24,0.40,43.49,9.15,16.15
Dedak_padi,1.25,0.27,0.43,44.41,10.07,13.87
Dedak_padi,1.25,0.28,0.43,44.44,10.12,13.89
Dedak_padi,1.22,0.24,0.40,42.37,9.32,15.97
Dedak_padi,1.23,0.28,0.43,43.38,12.46,10.67
Dedak_padi,1.22,0.26,0.40,43.09,11.16,13.06
Dedak_padi,1.23,0.28,0.43,44.12,12.05,10.48
Dedak_padi,1.24,0.32,0.47,45.24,13.90,8.69
Dedak_padi,1.24,0.31,0.45,44.96,13.01,9.25
