study,author,year,broiler,peptide,treatment,level,bw,adg,dfi,fcr
1,Bao et al.,2009,Arbor Acres,free,free,0,700.00,28.32,41.23,1.46
1,Bao et al.,2009,Arbor Acres,pig antimikrobial peptida (PABP),peptide,150,843.33,35.30,41.11,1.16
1,Bao et al.,2009,Arbor Acres,pig antimikrobial peptida (PABP),peptide,200,868.32,36.48,41.29,1.13
2,Ohh et al.,2009,ROSS 308,free,free,0,696.00,31.05,50.19,1.62
2,Ohh et al.,2009,ROSS 308,potato protein,peptide,2500,690.00,30.76,49.29,1.60
2,Ohh et al.,2009,ROSS 308,potato protein,peptide,5000,747.00,33.48,53.29,1.59
2,Ohh et al.,2009,ROSS 308,potato protein,peptide,7500,752.00,33.71,52.81,1.57
3,Choi et al.,2013,ROSS 308,free,free,0,737.00,33.00,53.05,1.61
3,Choi et al.,2013,ROSS 308,AMP-A3,peptide,60,747.92,33.52,53.48,1.60
3,Choi et al.,2013,ROSS 308,AMP-A3,peptide,90,765.98,34.38,54.10,1.57
4,Choi et al.,2013,ROSS 308,free,free,0,803.99,36.19,55.95,1.55
4,Choi et al.,2013,ROSS 308,AMP-P5,peptide,40,821.00,37.00,56.52,1.53
4,Choi et al.,2013,ROSS 308,AMP-P5,peptide,60,836.96,37.76,56.71,1.50
5,Abdel-Latif et al.,2017,ROSS 308,free,free,0,774.33,34.91,48.73,1.41
5,Abdel-Latif et al.,2017,ROSS 308,lysozyme,peptide,70,818.50,37.04,48.78,1.33
5,Abdel-Latif et al.,2017,ROSS 308,lysozyme,peptide,90,813.66,36.75,48.42,1.33
5,Abdel-Latif et al.,2017,ROSS 308,lysozyme,peptide,120,814.50,36.83,49.12,1.35
6,Abdollahi et al.,2017,ROSS 308,free,free,0,"1,016.00",46.29,60.14,1.30
6,Abdollahi et al.,2017,ROSS 308,soybean bioactive peptide,peptide,1000,"1,034.00",47.14,60.67,1.29
6,Abdollahi et al.,2017,ROSS 308,soybean bioactive peptide,peptide,2000,"1,037.00",47.29,60.43,1.28
6,Abdollahi et al.,2017,ROSS 308,soybean bioactive peptide,peptide,3000,"1,026.00",46.76,60.52,1.30
6,Abdollahi et al.,2017,ROSS 308,soybean bioactive peptide,peptide,4000,"1,011.00",46.05,59.10,1.28
6,Abdollahi et al.,2017,ROSS 308,soybean bioactive peptide,peptide,5000,"1,041.00",47.48,59.86,1.26
6,Abdollahi et al.,2017,ROSS 308,soybean bioactive peptide,peptide,6000,"1,031.00",47.00,58.57,1.25
7,Ma et al.,2019,Arbor Acres,free,free,0,704.95,31.46,51.38,1.63
7,Ma et al.,2019,Arbor Acres,plectasin,peptide,100,717.97,32.08,46.70,1.44
7,Ma et al.,2019,Arbor Acres,plectasin,peptide,200,709.99,31.70,45.64,1.44
8,Osho et al.,2019,Cobb 500,free,free,0,874.40,39.67,58.90,1.48
8,Osho et al.,2019,Cobb 500,soybean bioactive peptide,peptide,1000,905.40,41.14,58.00,1.41
8,Osho et al.,2019,Cobb 500,soybean bioactive peptide,peptide,2000,912.40,41.48,58.33,1.41
8,Osho et al.,2019,Cobb 500,soybean bioactive peptide,peptide,3000,925.40,42.10,58.38,1.39
8,Osho et al.,2019,Cobb 500,soybean bioactive peptide,peptide,4000,943.40,42.95,58.90,1.37
8,Osho et al.,2019,Cobb 500,soybean bioactive peptide,peptide,5000,"1,013.40",46.29,58.62,1.27
