Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
8,HG,BaB,50,350,67.82,709.50,137.47,1.00,0.68,0.42,0.28,0.70,0.47
9,HG,BaB,54,378,70.76,814.50,152.46,0.95,0.67,0.36,0.25,0.58,0.41
10,HG,BaB,58,406,73.76,918.00,166.78,0.95,0.70,0.36,0.27,0.58,0.43
11,HG,BaB,61,427,75.57,"1,019.50",180.42,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,BaB,64,469,81.13,"1,117.00",193.21,0.95,0.77,0.36,0.29,0.58,0.47
13,HG,BaB,67,490,81.60,"1,211.50",216.56,0.95,0.78,0.36,0.29,0.58,0.47
14,HG,BaB,70,511,83.79,"1,300.50",226.85,0.95,0.80,0.36,0.30,0.58,0.49
15,HG,BaB,73,532,86.07,"1,383.50",236.13,0.95,0.82,0.36,0.31,0.58,0.50
16,HG,BaB,76,574,91.79,"1,459.50",244.58,0.95,0.87,0.36,0.33,0.58,0.53
17,HG,BaB,82,609,96.41,"1,529.50",252.03,2.05,1.98,0.42,0.40,0.65,0.63
18,HG,BaB,87,609,96.41,"1,592.00",252.03,2.05,1.98,0.42,0.40,0.65,0.63
19,HG,BaB,93,651,102.21,"1,646.00",258.42,2.05,2.10,0.42,0.43,0.65,0.66
20,HG,BaB,100,742,115.68,"1,693.00",263.93,2.05,2.37,0.42,0.49,0.65,0.75
21,HG,BaB,106,742,115.18,"1,722.00",267.32,2.05,2.36,0.42,0.48,0.65,0.75
22,HG,BaB,111,777,120.13,"1,750.00",270.57,2.05,2.46,0.42,0.50,0.65,0.78
23,HG,BaB,114,798,122.98,"1,773.00",273.23,2.05,2.52,0.42,0.52,0.65,0.80
24,HG,BaB,115,805,123.67,"1,795.00",275.77,2.05,2.54,0.42,0.52,0.65,0.80
25,HG,BaB,115,805,123.35,"1,814.00",277.96,2.05,2.53,0.42,0.52,0.65,0.80
26,HG,BaB,115,805,123.13,"1,827.00",279.45,2.05,2.52,0.42,0.52,0.65,0.80
27,HG,BaB,115,805,122.93,"1,839.00",280.83,2.05,2.52,0.42,0.52,0.65,0.80
28,HG,BaB,115,805,122.74,"1,850.00",282.08,2.05,2.52,0.42,0.52,0.65,0.80
29,HG,BaB,115,805,122.58,"1,860.00",283.23,2.05,2.51,0.42,0.51,0.65,0.80
30,HG,BaB,115,805,122.43,"1,869.00",284.25,2.05,2.51,0.42,0.51,0.65,0.80
31,HG,BaB,115,805,122.30,"1,877.00",285.17,2.05,2.51,0.42,0.51,0.65,0.79
32,HG,BaB,115,805,122.17,"1,885.00",286.08,2.05,2.50,0.42,0.51,0.65,0.79
33,HG,BaB,115,805,122.06,"1,892.00",286.87,2.05,2.50,0.42,0.51,0.65,0.79
34,HG,BaB,115,805,121.96,"1,898.00",287.56,2.05,2.50,0.42,0.51,0.65,0.79
35,HG,BaB,115,805,121.87,"1,904.00",288.24,2.05,2.50,0.42,0.51,0.65,0.79
8,HG,BaW,46,322,65.01,602.00,121.53,1.00,0.65,0.42,0.27,0.70,0.46
9,HG,BaW,49,343,67.02,686.00,134.04,0.95,0.64,0.36,0.24,0.58,0.39
10,HG,BaW,53,371,70.42,770.50,146.24,0.95,0.67,0.36,0.25,0.58,0.41
11,HG,BaW,56,392,72.50,854.50,158.05,0.95,0.69,0.36,0.26,0.58,0.42
12,HG,BaW,59,434,78.44,937.00,169.36,0.95,0.75,0.36,0.28,0.58,0.45
13,HG,BaW,62,455,79.10,"1,017.50",190.35,0.95,0.75,0.36,0.28,0.58,0.46
14,HG,BaW,65,476,81.40,"1,095.00",199.99,0.95,0.77,0.36,0.29,0.58,0.47
15,HG,BaW,68,497,83.75,"1,169.50",208.96,0.95,0.80,0.36,0.30,0.58,0.49
16,HG,BaW,71,518,86.18,"1,240.00",217.19,0.95,0.82,0.36,0.31,0.58,0.50
17,HG,BaW,74,546,89.81,"1,305.50",224.69,2.05,1.84,0.42,0.38,0.65,0.58
18,HG,BaW,78,546,89.81,"1,366.00",224.69,2.05,1.84,0.42,0.38,0.65,0.58
19,HG,BaW,86,602,98.07,"1,420.00",231.32,2.05,2.01,0.42,0.41,0.65,0.64
20,HG,BaW,92,693,111.96,"1,468.00",237.16,2.05,2.30,0.42,0.47,0.65,0.73
21,HG,BaW,99,693,111.28,"1,504.00",241.51,2.05,2.28,0.42,0.47,0.65,0.72
22,HG,BaW,105,735,117.29,"1,542.00",246.07,2.05,2.40,0.42,0.49,0.65,0.76
23,HG,BaW,108,756,120.18,"1,566.00",248.94,2.05,2.46,0.42,0.50,0.65,0.78
24,HG,BaW,110,770,122.13,"1,580.00",250.61,2.05,2.50,0.42,0.51,0.65,0.79
25,HG,BaW,110,770,121.86,"1,594.00",252.27,2.05,2.50,0.42,0.51,0.65,0.79
26,HG,BaW,111,777,122.72,"1,607.00",253.81,2.05,2.52,0.42,0.52,0.65,0.80
27,HG,BaW,111,777,122.49,"1,619.00",255.23,2.05,2.51,0.42,0.51,0.65,0.80
28,HG,BaW,111,777,122.27,"1,631.00",256.65,2.05,2.51,0.42,0.51,0.65,0.79
29,HG,BaW,112,784,123.18,"1,641.00",257.83,2.05,2.53,0.42,0.52,0.65,0.80
