year,category,livestock,Pacitan,Ponorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,Kotakediri,Kotablitar,Kotamalang,Kotaprobolinggo,Kotapasuruan,Kotamojokerto,Kotamadiun,Surabaya,Batu
2011,monogastric_poultry,chicken_local,"808,222.00","732,262.00","575,682.00","2,161,823.00","2,341,098.00","1,187,814.00","1,807,318.00","970,907.00","1,605,080.00","1,290,229.00","511,096.00","222,461.00","790,390.00","395,950.00","210,182.00","705,532.00","1,409,221.00","1,182,869.00","1,016,528.00","606,027.00","663,358.00","1,402,822.00","826,341.00","1,839,632.00","640,840.00","939,811.00","461,820.00","771,480.00","767,609.00","77,930.00","45,425.00","53,568.00","68,078.00","46,217.00","14,511.00","70,856.00","34,481.00","55,026.00"
2011,monogastric_poultry,chicken_broiler,"410,532.00","1,724,151.00","2,471,739.00","1,495,494.00","21,873,600.00","8,339,818.00","13,346,528.00","4,986,082.00","4,234,131.00","1,483,054.00","1,348,056.00","98,167.00","279,848.00","9,692,456.00","139,446.00","4,642,786.00","19,423,784.00","2,395,456.00","589,124.00","3,267,912.00","650,088.00","1,873,948.00","3,239,561.00","31,225,776.00","7,800,000.00","617,860.00","49,314.00","456,908.00","360,911.00","9,890.00","121,809.00","329,659.00","24,385.00","2,000.00","6,593.00","10,879.00","1,872.00","529,103.00"
2011,monogastric_poultry,chicken_layer,"2,980.00","210,031.00","167,940.00","3,432,410.00","13,900,400.00","7,163,057.00","2,666,662.00","431,036.00","782,035.00","599,000.00","90,585.00","6,719.00","199,683.00","1,051,016.00","8,000.00","327,270.00","1,088,730.00","1,052,603.00","156,828.00","2,016,634.00","114,106.00","9,600.00","168,752.00","110,108.00","133,045.00","21,361.00","3,955.00","241,590.00","302,959.00","6,500.00","309,500.00","150,000.00","6,200.00",936.00,0.00,0.00,565.00,"102,455.00"
2011,monogastric_poultry,duck,"15,978.00","25,001.00","94,274.00","422,899.00","759,914.00","177,624.00","166,171.00","285,311.00","174,351.00","253,716.00","43,061.00","40,779.00","45,719.00","65,170.00","268,096.00","262,600.00","172,731.00","56,193.00","33,924.00","24,593.00","28,223.00","57,071.00","33,951.00","150,693.00","26,450.00","31,995.00","13,787.00","48,490.00","55,284.00","4,105.00","7,560.00","13,648.00","5,406.00","4,069.00","4,880.00","1,731.00","6,959.00","1,863.00"
2011,monogastric_poultry,muscovy_duck,0.00,"17,498.00","39,477.00","76,605.00","72,431.00","54,456.00","65,399.00",0.00,0.00,"25,040.00","7,847.00","3,584.00","19,580.00","14,536.00","21,990.00","59,197.00","61,713.00","25,494.00","16,669.00","5,115.00","12,571.00","61,749.00","36,422.00","26,141.00","13,260.00","36,066.00","13,172.00","20,454.00","12,015.00","1,143.00","2,300.00",594.00,"1,582.00",401.00,455.00,506.00,"1,352.00","3,001.00"
2011,monogastric,swine,0.00,2.00,32.00,"11,904.00","1,861.00","2,190.50","6,102.00","1,428.00",663.00,"1,150.50",0.00,0.00,0.00,0.00,0.00,866.00,0.00,956.00,394.00,"5,810.00",467.00,0.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.00,0.00,0.00,0.00,96.00,0.00,0.00,24.00
2011,small_ruminant,sheep,"21,850.00","14,724.50","17,101.50","3,668.00","3,837.00","32,513.50","26,237.00","28,999.00","69,162.33","36,207.37","13,832.00","50,400.00","59,115.50","46,257.50","22,542.50","19,960.00","43,893.00","51,936.00","16,027.00","30,190.00","21,570.00","92,497.00","57,919.50","49,150.00","29,900.00","4,789.00","8,901.00","21,563.00","31,112.80",935.00,423.50,319.00,"6,075.00","1,025.00",617.50,835.50,847.00,"6,001.00"
2011,small_ruminant,goat,"122,136.65","149,416.00","226,470.00","174,689.00","116,778.00","120,587.94","194,269.00","85,733.03","46,972.75","67,100.96","31,312.00","81,054.00","51,169.58","81,210.03","29,249.02","166,864.67","117,364.40","118,392.52","46,864.00","34,055.00","77,784.99","96,194.58","92,423.32","86,394.00","59,240.00","68,378.00","45,486.00","62,397.00","146,927.77","2,091.41","5,173.74",996.00,"6,757.12","5,494.00","1,713.53","2,749.18","4,161.00","4,865.00"
2011,large_ruminant,buffalo,99.00,282.00,221.00,403.00,"2,699.00",451.00,"2,421.00","5,257.00",396.00,"4,619.00",0.00,327.00,88.00,210.00,714.00,556.00,352.00,767.00,512.00,273.00,"1,583.00","1,053.00","1,993.00",324.00,297.00,"1,269.00",0.00,0.00,"5,189.00",94.00,0.00,151.00,0.00,7.00,8.00,9.00,42.00,9.00
2011,pseudo_ruminant,horse,74.00,119.00,48.00,33.00,105.00,289.00,692.00,879.00,353.00,793.20,913.00,413.00,754.00,"1,161.00",210.00,0.00,14.00,29.00,186.93,169.00,62.00,182.00,458.00,127.00,236.00,642.00,111.00,76.00,"2,134.00",11.00,12.00,58.00,8.00,26.00,11.00,4.00,0.00,46.00
2011,large_ruminant,dairy_cattle,500.00,"2,151.00","5,405.00","26,558.00","20,308.00","12,468.00","89,431.00","6,202.00",713.00,309.00,44.00,67.00,"8,593.00","96,600.00","3,123.00","2,090.00","3,972.00",41.00,88.00,72.00,69.00,33.00,"1,735.00",21.00,409.00,24.00,0.00,18.00,0.00,176.00,375.00,264.00,195.00,45.00,12.00,49.00,"1,427.00","12,763.00"
2011,large_ruminant,beef_cattle,"86,138.00","89,148.00","42,560.00","129,678.00","189,378.00","268,139.00","225,895.00","200,577.00","324,230.00","143,852.00","203,735.00","204,925.00","287,480.00","110,700.00","8,768.00","90,996.00","103,014.00","176,612.00","62,375.00","107,263.00","101,047.00","190,879.00","312,013.00","109,972.00","53,020.00","193,576.00","196,414.00","127,674.00","357,038.00","6,236.00","3,409.00","4,430.00","10,071.00",820.00,384.00,379.00,"1,126.00","3,347.00"
2012,monogastric_poultry,chicken_local,"816,257.00","700,777.00","792,386.00","2,431,070.00","2,355,777.00","1,243,172.00","2,096,489.00","992,885.00","1,621,133.00","1,574,273.00","566,700.00","590,474.00","998,115.00","743,657.00","387,371.00","745,532.00","1,514,229.00","1,216,797.00","1,187,286.00","665,269.00","695,681.00","1,398,492.00","826,988.00","1,873,680.00","645,838.00","959,714.00","462,744.00","771,520.00","769,359.00","98,600.00","49,450.00","53,828.00","70,436.00","43,071.00","16,720.00","73,690.00","39,192.00","55,026.00"
2012,monogastric_poultry,chicken_broiler,"224,197.00","870,013.00","671,615.00","678,800.00","6,656,211.00","3,513,260.00","3,648,864.00","2,295,245.00","1,904,421.00","815,413.00","505,884.00","41,556.00","28,410.00","3,539,808.00","34,667.00","1,877,813.00","6,551,467.00","946,267.00","353,721.00","1,101,447.00","294,867.00","987,973.00","1,259,933.00","11,123,873.00","866,667.00","77,061.00","20,444.00","212,845.00","441,967.00","6,000.00","49,800.00","140,000.00","12,493.00","7,200.00","2,000.00","4,400.00","1,176.00","214,000.00"
2012,monogastric_poultry,chicken_layer,"3,180.00","197,553.00","177,093.00","3,555,771.00","15,036,300.00","8,306,471.00","2,733,458.00","504,092.00","789,855.00","670,547.00","126,499.00","11,247.00","487,634.00","1,151,016.00","17,140.00","322,235.00","1,398,536.00","840,105.00","186,033.00","2,030,400.00","72,436.00","19,700.00","170,960.00","139,249.00","133,045.00","21,271.00","4,394.00","271,585.00","306,625.00","8,000.00","311,300.00","150,300.00","10,880.00",700.00,0.00,0.00,566.00,"102,455.00"
2012,monogastric_poultry,duck,"16,212.00","40,652.00","90,368.00","390,137.00","725,980.00","152,019.00","169,491.00","280,625.00","175,750.00","279,327.00","49,075.00","42,979.00","46,232.00","62,170.00","248,914.00","260,750.00","176,562.00","52,402.00","36,129.00","26,927.00","33,885.00","63,572.00","34,644.00","162,994.00","27,990.00","33,677.00","13,908.00","48,484.00","55,076.00","5,071.00","8,150.00","14,434.00","6,537.00","6,797.00","1,150.00","5,186.00","5,609.00","3,263.00"
2012,monogastric_poultry,muscovy_duck,0.00,"38,961.00","51,121.00","71,859.00","79,790.00","57,231.00","66,707.00",0.00,0.00,"26,988.00","9,649.00","3,660.00","19,676.00","14,536.00","1,372.00","58,086.00","62,573.00","27,608.00","17,536.00","7,759.00","14,957.00","67,494.00","36,606.00","30,059.00","13,260.00","38,834.00","13,435.00","20,460.00","12,057.00","1,350.00","2,630.00",617.00,"1,645.00",796.00,425.00,513.00,"1,884.00","3,001.00"
2012,monogastric,swine,0.00,0.00,25.00,"9,888.00","3,359.00","2,985.00","6,318.00","2,110.00",427.00,530.00,0.00,0.00,0.00,0.00,0.00,880.00,0.00,"1,156.00",390.00,"7,629.00",921.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,345.00,0.00,0.00,0.00,75.00,0.00,0.00,24.00
2012,small_ruminant,sheep,"22,340.00","15,205.00","9,137.00","4,000.00","4,777.00","41,326.00","26,976.00","34,815.00","70,200.00","47,222.00","31,622.00","52,269.00","53,178.00","60,736.00","27,794.00","29,029.00","62,626.00","55,838.00","20,486.00","27,320.00","32,410.00","100,444.00","71,144.00","65,451.00","30,396.00","4,934.00","9,043.00","21,480.00","37,628.00","1,015.00",580.00,333.00,"7,644.00",643.00,765.00,935.00,827.00,"6,034.00"
2012,small_ruminant,goat,"119,380.00","163,713.00","229,377.00","175,111.00","128,455.00","129,085.00","203,932.00","88,558.00","47,677.00","67,149.00","38,083.00","52,907.00","47,141.00","66,724.00","29,442.00","164,466.00","128,939.00","119,288.00","58,955.00","36,801.00","78,258.00","98,704.00","81,126.00","95,828.00","65,210.00","79,733.00","45,786.00","62,450.00","145,947.00","2,940.00","4,416.00","1,012.00","6,901.00","3,410.00","1,630.00","2,697.00","3,223.00","4,915.00"
2012,large_ruminant,buffalo,106.00,299.00,223.00,323.00,"2,746.00",475.00,"2,445.00","5,740.00",399.00,"4,611.00",0.00,331.00,88.00,226.00,663.00,572.00,323.00,571.00,512.00,306.00,"1,776.00","1,191.00","1,993.00",354.00,297.00,"1,417.00",0.00,0.00,"5,187.00",100.00,0.00,153.00,0.00,2.00,9.00,9.00,42.00,9.00
2012,pseudo_ruminant,horse,74.00,129.00,102.00,32.00,134.00,292.00,685.00,936.00,334.00,773.00,"1,174.00",421.00,766.00,"1,077.00",147.00,0.00,14.00,27.00,179.00,162.00,66.00,167.00,458.00,127.00,236.00,642.00,111.00,72.00,"2,120.00",12.00,13.00,58.00,8.00,24.00,10.00,4.00,0.00,46.00
2012,large_ruminant,dairy_cattle,553.00,"2,127.00","5,554.00","24,680.00","21,570.00","13,437.00","93,992.00","6,228.00","1,283.00","1,475.00",35.00,110.00,"8,982.00","101,054.00","3,396.00","2,320.00","4,663.00",31.00,162.00,121.00,87.00,37.00,"1,791.00",21.00,415.00,24.00,0.00,18.00,0.00,200.00,396.00,267.00,285.00,25.00,15.00,58.00,540.00,"12,889.00"
