year,category,livestock,Pacitan,Ponorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,Kotakediri,Kotablitar,Kotamalang,Kotaprobolinggo,Kotapasuruan,Kotamojokerto,Kotamadiun,Surabaya,Batu
2011,monogastric_poultry,chicken_local,808222,732262,575682,2161823,2341098,1187814,1807318,970907,1605080,1290229,511096,222461,790390,395950,210182,705532,1409221,1182869,1016528,606027,663358,1402822,826341,1839632,640840,939811,461820,771480,767609,77930,45425,53568,68078,46217,14511,70856,34481,55026
2011,monogastric_poultry,chicken_broiler,410532,1724151,2471739,1495494,21873600,8339818,13346528,4986082,4234131,1483054,1348056,98167,279848,9692456,139446,4642786,19423784,2395456,589124,3267912,650088,1873948,3239561,31225776,7800000,617860,49314,456908,360911,9890,121809,329659,24385,2000,6593,10879,1872,529103
2011,monogastric_poultry,chicken_layer,2980,210031,167940,3432410,13900400,7163057,2666662,431036,782035,599000,90585,6719,199683,1051016,8000,327270,1088730,1052603,156828,2016634,114106,9600,168752,110108,133045,21361,3955,241590,302959,6500,309500,150000,6200,936,0,0,565,102455
2011,monogastric_poultry,duck,15978,25001,94274,422899,759914,177624,166171,285311,174351,253716,43061,40779,45719,65170,268096,262600,172731,56193,33924,24593,28223,57071,33951,150693,26450,31995,13787,48490,55284,4105,7560,13648,5406,4069,4880,1731,6959,1863
2011,monogastric_poultry,muscovy_duck,0,17498,39477,76605,72431,54456,65399,0,0,25040,7847,3584,19580,14536,21990,59197,61713,25494,16669,5115,12571,61749,36422,26141,13260,36066,13172,20454,12015,1143,2300,594,1582,401,455,506,1352,3001
2011,monogastric,swine,0,2,32,11904,1861,2190.5,6102,1428,663,1150.5,0,0,0,0,0,866,0,956,394,5810,467,0,240,0,0,0,0,0,0,0,279,0,0,0,96,0,0,24
2011,small_ruminant,sheep,21850,14724.5,17101.5,3668,3837,32513.5,26237,28999,69162.33,36207.37,13832,50400,59115.5,46257.5,22542.5,19960,43893,51936,16027,30190,21570,92497,57919.5,49150,29900,4789,8901,21563,31112.8,935,423.5,319,6075,1025,617.5,835.5,847,6001
2011,small_ruminant,goat,122136.65,149416,226470,174689,116778,120587.94,194269,85733.03,46972.75,67100.96,31312,81054,51169.58,81210.03,29249.02,166864.67,117364.4,118392.52,46864,34055,77784.99,96194.58,92423.32,86394,59240,68378,45486,62397,146927.77,2091.41,5173.74,996,6757.12,5494,1713.53,2749.18,4161,4865
2011,large_ruminant,buffalo,99,282,221,403,2699,451,2421,5257,396,4619,0,327,88,210,714,556,352,767,512,273,1583,1053,1993,324,297,1269,0,0,5189,94,0,151,0,7,8,9,42,9
2011,pseudo_ruminant,horse,74,119,48,33,105,289,692,879,353,793.2,913,413,754,1161,210,0,14,29,186.93,169,62,182,458,127,236,642,111,76,2134,11,12,58,8,26,11,4,0,46
